Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2021-07-22 07:42:07,false,"McKinney Walking","0.43","75","00:14:24","98","111","--","69","127","33:52","14:14","13","200","0.69","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","14:24.20","1","0.0","--","--","--","--","--","--","--","--","00:10:36","00:14:24","774","976"
Walking,2021-07-15 07:36:27,false,"McKinney Walking","2.07","285","00:51:28","96","129","--","76","136","24:53","15:53","75","52","0.85","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","03:38.35","3","0.0","--","--","--","--","--","--","--","--","00:46:15","00:51:28","734","795"
Cycling,2021-07-14 10:20:50,false,"McKinney Cycling","16.92","729","00:59:32","160","181","--","--","--","17.1","34.4","469","476","0.00","0.0","0.0","0","--","73","97","--","--","0.0","--","0","0","0.0","0.0","3595","0","0","0","--","0:00","77.0","0:00","No","59:31.98","1","89.6","--","--","--","--","--","--","--","--","00:58:59","01:05:33","488","682"
Walking,2021-07-12 08:35:31,false,"McKinney Walking","2.52","369","01:05:40","92","115","--","74","130","26:01","16:09","33","49","0.84","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","13:16.47","3","0.0","--","--","--","--","--","--","--","--","00:53:16","01:05:40","736","779"
Walking,2021-07-09 07:42:59,false,"McKinney Walking","0.39","50","00:07:37.2","104","114","--","99","228","19:28","17:32","72","13","0.84","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","07:37.20","1","0.0","--","--","--","--","--","--","--","--","00:07:37","00:07:37.2","684","757"
Walking,2021-07-09 07:23:44,false,"McKinney Walking","0.55","86","00:18:25","93","112","--","57","118","33:12","20:49","36","20","0.85","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","18:24.96","1","0.0","--","--","--","--","--","--","--","--","00:15:35","00:18:25","667","706"
Walking,2021-07-06 07:32:45,false,"McKinney Walking","2.20","306","00:53:36","94","118","--","79","122","24:24","16:37","56","79","0.85","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","06:32.56","3","0.0","--","--","--","--","--","--","--","--","00:48:04","00:53:36","788","824"
Breathwork,2021-07-05 20:07:07,false,"Relax and Focus","--","--","00:15:38","74","92","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","253","0.0","5","4","13","-10","46","36","38","79","00:00:00","00:15:38","--","--"
Other,2021-07-05 10:25:17,false,"McKinney Yard Work","1.00","364","01:09:39","103","120","--","19","220","0.9","4.2","10","7","1.20","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:09:39.29","1","0.0","--","--","--","--","--","--","--","--","00:32:27","01:09:39","763","777"
Breathwork,2021-07-03 21:16:08,false,"Relax and Focus","--","--","00:15:38","70","97","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","253","0.0","5","4","6","-11","51","40","31","63","00:00:00","00:15:38","--","--"
Breathwork,2021-07-03 14:00:24,false,"Relax and Focus","--","--","00:15:38","76","93","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","253","0.0","5","4","6","17","27","44","51","78","00:00:00","00:15:38","--","--"
Cycling,2021-07-03 07:06:46,false,"Frisco Cycling","29.05","974","01:34:21","148","176","--","--","--","18.5","44.6","636","646","0.00","0.0","0.0","0","--","74","121","--","--","0.0","--","0","0","0.0","0.0","3948","0","0","0","--","0:00","69.8","0:00","No","01:34:20.90","1","71.6","--","--","--","--","--","--","--","--","01:33:41","01:49:11","468","648"
Cycling,2021-07-01 14:14:39,false,"McKinney Cycling","16.51","835","00:53:57","162","180","--","--","--","18.4","31.8","387","400","0.00","0.0","0.0","0","--","68","91","--","--","0.0","--","0","0","0.0","0.0","3122","0","0","0","--","0:00","91.4","0:00","No","53:57.20","1","100.4","--","--","--","--","--","--","--","--","00:53:39","01:00:11","612","812"
Cycling,2021-06-30 15:19:11,false,"McKinney Cycling","22.13","1,157","01:13:38","164","177","--","--","--","18.0","32.1","748","719","0.00","0.0","0.0","0","--","69","93","--","--","0.0","--","0","0","0.0","0.0","4129","0","0","0","--","0:00","82.4","0:00","No","01:13:37.65","1","96.8","--","--","--","--","--","--","--","--","01:12:51","01:20:57","480","703"
Walking,2021-06-30 07:12:59,false,"McKinney Walking","1.01","144","00:26:25","95","136","--","71","199","26:06","15:32","92","33","0.88","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:22.04","2","0.0","--","--","--","--","--","--","--","--","00:24:07","00:26:25","757","829"
Yoga,2021-06-29 10:34:19,false,"Yoga","--","130","01:09:44","71","85","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","--","1","0:00","0.0","0:00","No","01:09:43.72","1","0.0","17","10","23","-20","30","10","31","64","01:09:44","01:09:44","--","--"
Walking,2021-06-28 10:13:08,false,"McKinney Walking","0.86","139","00:29:09","82","111","--","56","122","34:00","15:18","13","20","0.85","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","29:08.65","1","0.0","--","--","--","--","--","--","--","--","00:16:36","00:29:09","783","806"
Walking,2021-06-28 07:47:53,false,"McKinney Walking","0.62","88","00:16:29","96","108","--","70","120","26:32","21:08","13","7","0.87","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","16:29.34","1","0.0","--","--","--","--","--","--","--","--","00:14:36","00:16:29","759","780"
Walking,2021-06-28 07:29:19,false,"McKinney Walking","0.49","74","00:18:01","78","119","--","27","110","36:45","21:37","10","7","1.62","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","18:01.07","1","0.0","--","--","--","--","--","--","--","--","00:10:52","00:18:01","765","783"
Walking,2021-06-25 18:01:38,false,"Walking","0.10","36","00:07:07.3","97","115","--","40","120","--","20:32","--","--","0.58","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","07:07.28","1","0.0","--","--","--","--","--","--","--","--","00:01:49","00:07:07.3","890","893"
Cycling,2021-06-24 20:06:04,false,"McKinney Cycling","19.98","1,014","01:06:59","160","178","--","--","--","17.9","35.7","492","476","0.00","0.0","0.0","0","--","68","101","--","--","0.0","--","0","0","0.0","0.0","3842","0","0","0","--","0:00","80.6","0:00","No","01:06:58.79","1","86.0","--","--","--","--","--","--","--","--","01:06:34","01:12:45","597","795"
Walking,2021-06-24 07:08:22,false,"McKinney Walking","0.96","150","00:31:31","94","119","--","61","178","32:57","18:19","102","20","0.81","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","31:31.16","1","0.0","--","--","--","--","--","--","--","--","00:23:46","00:31:31","753","840"
Walking,2021-06-23 07:02:54,false,"McKinney Walking","0.94","137","00:26:46","90","115","--","51","120","28:32","15:22","20","49","1.10","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","26:45.66","1","0.0","--","--","--","--","--","--","--","--","00:20:59","00:26:46","726","772"
Cycling,2021-06-22 13:08:13,false,"McKinney Cycling","22.94","996","01:23:15","144","164","--","--","--","16.5","31.8","781","758","0.00","0.0","0.0","0","--","68","97","--","--","0.0","--","0","0","0.0","0.0","4319","0","0","0","--","0:00","78.8","0:00","No","01:23:14.99","1","91.4","--","--","--","--","--","--","--","--","01:22:56","01:28:28","596","791"
Walking,2021-06-22 06:59:25,false,"McKinney Walking","0.90","120","00:24:03","89","113","--","75","134","26:35","20:15","75","13","0.80","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","24:02.60","1","0.0","--","--","--","--","--","--","--","--","00:22:01","00:24:03","661","730"
Breathwork,2021-06-21 21:25:21,false,"Relax and Focus","--","--","00:15:38","64","78","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","253","0.0","4","3","13","-41","53","12","17","53","00:00:00","00:15:38","--","--"
Walking,2021-06-21 07:41:11,false,"McKinney Walking","0.29","44","00:08:11.4","98","109","--","63","136","28:23","16:37","108","13","0.89","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","08:11.36","1","0.0","--","--","--","--","--","--","--","--","00:06:14","00:08:11.4","707","816"
Walking,2021-06-20 14:09:42,false,"McKinney Walking","0.33","47","00:07:29.4","99","111","--","79","115","22:59","16:26","351","36","0.89","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","07:29.40","1","0.0","--","--","--","--","--","--","--","--","00:06:52","00:07:29.4","596","946"
Walking,2021-06-20 12:45:39,false,"McKinney Walking","0.32","54","00:08:32.6","108","123","--","73","146","27:01","16:55","7","148","0.82","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","08:32.59","1","0.0","--","--","--","--","--","--","--","--","00:06:30","00:08:32.6","778","929"
Cycling,2021-06-19 06:10:57,false,"McKinney Cycling","37.80","1,713","02:12:00","152","174","--","--","--","17.2","31.9","1,257","1,306","0.00","0.0","0.0","0","--","69","111","--","--","0.0","--","0","0","0.0","0.0","7281","0","0","0","--","0:00","60.8","0:00","No","02:11:59.83","1","75.2","--","--","--","--","--","--","--","--","02:11:34","02:25:28","554","768"
Cycling,2021-06-17 10:42:27,false,"McKinney Cycling","16.39","790","00:54:26","161","188","--","--","--","18.1","32.3","413","394","0.00","0.0","0.0","0","--","68","88","--","--","0.0","--","0","0","0.0","0.0","3058","0","0","0","--","0:00","89.6","0:00","No","54:25.68","1","95.0","--","--","--","--","--","--","--","--","00:54:13","00:55:37","634","794"
Walking,2021-06-17 07:20:29,false,"McKinney Walking","2.52","333","01:02:12","103","119","--","83","117","24:43","2:22","226","62","0.78","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","13:04.34","3","0.0","--","--","--","--","--","--","--","--","00:59:06","01:02:12","770","952"
Walking,2021-06-16 11:31:35,false,"McKinney Walking","1.49","196","00:26:13","99","125","--","116","130","17:37","14:40","89","59","0.79","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","08:10.77","2","0.0","--","--","--","--","--","--","--","--","00:26:07","00:26:13","722","791"
Walking,2021-06-15 17:01:52,false,"McKinney Walking","1.09","172","00:29:51","102","118","--","71","144","27:19","15:27","95","66","1.56","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","03:57.87","2","0.0","--","--","--","--","--","--","--","--","00:24:52","00:29:51","754","823"
Cycling,2021-06-13 06:39:03,false,"McKinney Cycling","32.39","1,307","02:15:48","135","176","--","--","--","14.3","33.1","978","1,017","0.00","0.0","0.0","0","--","67","105","--","--","0.0","--","0","0","0.0","0.0","6164","0","0","0","--","0:00","69.8","0:00","No","02:15:47.84","1","84.2","--","--","--","--","--","--","--","--","02:01:26","02:15:53","583","812"
Cycling,2021-06-12 06:06:12,false,"McKinney Cycling","6.40","284","00:22:50","143","169","--","--","--","16.8","24.4","72","148","0.00","0.0","0.0","0","--","57","82","--","--","0.0","--","0","0","0.0","0.0","1310","0","0","0","--","0:00","0.0","0:00","No","22:50.39","1","0.0","--","--","--","--","--","--","--","--","00:22:50","00:22:59","667","781"
Running,2021-06-11 10:40:58,false,"McKinney - Hill Repeats","3.18","504","00:43:25","147","178","--","132","227","13:40","5:32","75","82","0.89","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:07.48","27","0.0","--","--","--","--","--","--","--","--","00:41:42","00:43:25","745","785"
Walking,2021-06-10 17:09:17,false,"McKinney Walking","0.92","138","00:25:09","106","124","--","75","157","27:17","17:13","16","105","0.79","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","25:09.03","1","0.0","--","--","--","--","--","--","--","--","00:20:50","00:25:09","734","839"
Walking,2021-06-09 16:57:30,false,"McKinney Walking","0.89","126","00:21:47","109","131","--","89","136","24:22","17:38","23","16","0.74","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","21:46.97","1","0.0","--","--","--","--","--","--","--","--","00:20:15","00:21:47","759","780"
Walking,2021-06-09 11:44:48,false,"McKinney Walking","0.22","72","00:07:04.9","133","149","--","54","120","31:31","16:48","62","16","0.94","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","07:04.89","1","0.0","--","--","--","--","--","--","--","--","00:04:29","00:07:04.9","732","795"
Running,2021-06-09 10:43:14,false,"McKinney - Easy Run","5.00","780","00:59:34","155","176","--","149","249","11:55","7:58","210","184","0.91","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","10:35.38","5","0.0","--","--","--","--","--","--","--","--","00:59:28","00:59:34","714","771"
Running,2021-06-08 11:10:04,false,"McKinney - Tired Run","3.00","461","00:34:12","152","174","--","146","185","11:24","8:03","190","180","0.97","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","10:30.35","3","0.0","--","--","--","--","--","--","--","--","00:33:24","00:34:12","727","781"
Running,2021-06-06 12:31:37,false,"McKinney - Negative Split Run","5.32","768","01:23:43","134","166","--","126","233","15:44","9:04","112","108","0.81","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","06:00.64","6","0.0","--","--","--","--","--","--","--","--","01:23:13","01:23:43","735","803"
Breathwork,2021-06-04 22:59:21,false,"Relax and Focus","--","--","00:15:38","64","74","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","253","0.0","5","4","7","-9","30","21","22","36","00:00:00","00:15:38","--","--"
Running,2021-06-04 13:07:33,false,"McKinney - Cadence Drills","4.00","669","00:54:37","153","182","--","143","239","13:39","10:16","85","75","0.83","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","12:23.11","4","0.0","--","--","--","--","--","--","--","--","00:54:36","00:54:37","747","793"
Walking,2021-06-04 09:13:10,false,"McKinney Walking","3.89","509","01:22:21","94","123","--","78","243","21:08","8:17","66","75","1.11","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","18:02.48","4","0.0","--","--","--","--","--","--","--","--","01:08:20","01:22:21","732","778"
Walking,2021-06-02 13:53:02,false,"McKinney Walking","0.95","133","00:25:31","102","121","--","77","187","26:49","20:15","7","13","0.78","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","25:31.27","1","0.0","--","--","--","--","--","--","--","--","00:23:11","00:25:31","749","774"
Walking,2021-05-30 14:02:01,false,"San Antonio Walking","0.23","47","00:07:39.3","103","119","--","45","114","33:34","1:22","72","16","1.06","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","07:39.29","1","0.0","--","--","--","--","--","--","--","--","00:05:48","00:07:39.3","881","955"
Walking,2021-05-30 12:58:35,false,"San Antonio Walking","0.19","53","00:08:07.4","107","120","--","28","140","41:43","2:53","653","10","1.37","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","08:07.37","1","0.0","--","--","--","--","--","--","--","--","00:03:18","00:08:07.4","383","1,038"
Walking,2021-05-30 11:34:01,false,"San Antonio Walking","0.16","35","00:07:33.2","90","101","--","33","116","48:15","21:17","7","13","1.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","07:33.21","1","0.0","--","--","--","--","--","--","--","--","00:04:02","00:07:33.2","951","967"
Walking,2021-05-29 16:25:37,false,"San Antonio Walking","0.27","61","00:10:06","107","120","--","63","150","37:53","17:58","49","--","0.67","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","10:05.72","1","0.0","--","--","--","--","--","--","--","--","00:06:46","00:10:06","923","978"
Walking,2021-05-29 10:13:49,false,"San Antonio Walking","0.12","31","00:06:49.1","90","105","--","45","157","54:51","23:11","--","13","0.65","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","06:49.13","1","0.0","--","--","--","--","--","--","--","--","00:04:22","00:06:49.1","950","969"
Walking,2021-05-27 18:59:29,false,"McKinney Walking","0.91","121","00:18:08","114","127","--","104","132","20:00","16:43","16","52","0.77","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","18:08.27","1","0.0","--","--","--","--","--","--","--","--","00:18:08","00:18:08","768","824"
Running,2021-05-27 18:09:14,false,"McKinney - Negative Split Run","4.12","613","00:49:55","142","166","--","154","249","12:06","9:22","200","128","0.86","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:47.25","5","0.0","--","--","--","--","--","--","--","--","00:49:55","00:49:55","742","840"
Walking,2021-05-27 10:58:51,false,"McKinney Walking","0.65","125","00:28:14","88","109","--","30","160","43:33","12:50","13","13","1.25","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","28:14.19","1","0.0","--","--","--","--","--","--","--","--","00:12:15","00:28:14","1,145","1,166"
Walking,2021-05-25 16:22:30,false,"McKinney Walking","1.11","246","00:44:01","99","119","--","43","163","39:44","13:34","66","46","3.35","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","06:20.26","2","0.0","--","--","--","--","--","--","--","--","00:21:39","00:44:01","682","751"
Breathwork,2021-05-24 21:45:42,false,"Relax and Focus","--","--","00:15:38","75","96","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","253","0.0","4","4","5","-7","40","33","39","69","00:00:00","00:15:38","--","--"
Running,2021-05-23 13:09:41,false,"McKinney - Easy Run","5.00","758","01:00:04","147","166","--","150","243","12:01","7:51","302","112","0.89","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","11:35.83","5","0.0","--","--","--","--","--","--","--","--","00:59:56","01:00:04","533","756"
Cycling,2021-05-22 07:37:26,false,"McKinney Cycling","33.84","1,097","02:13:56","142","174","--","--","--","15.2","29.6","712","722","0.00","0.0","0.0","0","--","68","91","--","--","0.0","--","0","0","0.0","0.0","6919","0","0","0","--","0:00","62.6","0:00","No","02:13:55.90","1","68.0","--","--","--","--","--","--","--","--","02:12:48","02:24:39","502","682"
Cycling,2021-05-17 13:09:19,false,"McKinney Cycling","17.06","1,451","00:55:15","0","0","--","--","--","18.5","36.3","466","449","0.00","0.0","0.0","0","--","65","91","--","--","0.0","--","0","0","0.0","0.0","3121","0","0","0","--","0:00","75.2","0:00","No","55:14.53","1","82.4","--","--","--","--","--","--","--","--","00:54:33","01:00:23","610","809"
Running,2021-05-13 11:51:42,false,"McKinney - Negative Split Run","9.99","1,373","01:54:58","149","183","--","151","247","11:30","6:53","200","177","0.93","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","10:39.61","10","0.0","--","--","--","--","--","--","--","--","01:54:29","01:58:33","731","817"
Treadmill Running,2021-05-11 13:14:23,false,"Hill Repeats","2.72","394","00:37:06","136","149","--","155","238","13:38","8:30","--","--","0.76","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:02.56","33","0.0","--","--","--","--","--","--","--","--","00:35:39","00:37:06","--","--"
Treadmill Running,2021-05-11 12:55:49,false,"Treadmill Running","1.00","130","00:12:05","127","136","--","167","173","12:05","9:31","--","--","0.90","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:24.49","2","0.0","--","--","--","--","--","--","--","--","00:12:05","00:12:05","--","--"
Running,2021-05-10 10:27:35,false,"McKinney - Easy Run","5.00","605","00:59:41","132","155","--","150","237","11:56","7:08","108","85","0.90","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","11:01.19","5","0.0","--","--","--","--","--","--","--","--","00:59:41","00:59:41","741","799"
Running,2021-05-07 13:58:11,false,"McKinney - Tired Run","3.00","462","00:30:17","160","177","--","162","179","10:06","7:55","62","43","0.98","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","09:56.16","3","0.0","--","--","--","--","--","--","--","--","00:30:17","00:30:17","747","800"
Running,2021-05-05 19:50:36,false,"McKinney - Negative Split Run","10.00","1,399","01:57:56","148","180","--","152","249","11:48","8:10","167","197","0.90","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","10:40.62","10","0.0","--","--","--","--","--","--","--","--","00:00:00","01:57:56","724","793"
Running,2021-05-04 12:59:20,false,"McKinney - Cadence Drills","4.00","624","00:48:57","148","167","--","154","244","12:14","8:26","108","98","0.86","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","11:40.51","4","0.0","--","--","--","--","--","--","--","--","00:48:56","00:52:53","759","801"
Walking,2021-05-03 10:38:31,false,"McKinney Walking","1.95","310","00:56:56","94","117","--","65","150","29:13","16:48","36","43","0.87","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","24:13.47","2","0.0","--","--","--","--","--","--","--","--","00:42:20","00:56:56","742","781"
Yoga,2021-05-02 21:01:13,false,"Yoga","--","1,155","08:45:58","61","95","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","--","1","0:00","0.0","0:00","No","08:45:58.46","1","0.0","19","8","27","-65","66","1","20","90","08:45:58","08:46:04","--","--"
Running,2021-05-02 19:29:37,false,"McKinney - Easy Run","3.23","493","00:36:33","149","170","--","150","241","11:19","8:30","66","72","0.95","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:40.76","4","0.0","--","--","--","--","--","--","--","--","00:36:19","00:36:33","1,102","1,159"
Walking,2021-05-02 19:23:22,false,"McKinney Walking","0.31","40","00:05:49.6","107","123","--","112","119","19:00","16:48","16","7","0.75","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:49.63","1","0.0","--","--","--","--","--","--","--","--","00:05:49","00:05:49.6","768","785"
Running,2021-05-01 15:32:13,false,"McKinney - Tired Run","3.00","473","00:30:34","160","177","--","156","249","10:11","7:29","75","49","1.01","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","09:29.66","3","0.0","--","--","--","--","--","--","--","--","00:30:33","00:30:34","764","821"
Strength Training,2021-04-28 10:55:02,false,"Strength","0.00","154","00:19:04","119","162","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","119","9","0:00","0.0","0:00","No","19:04.35","1","0.0","--","--","--","--","--","--","--","--","00:07:18.0","00:19:09","--","--"
Treadmill Running,2021-04-28 10:28:05,false,"Negative Split Run","2.15","226","00:24:47","120","159","--","161","230","11:32","18:25","--","--","0.44","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:01.95","2","0.0","--","--","--","--","--","--","--","--","00:24:18","00:24:47","--","--"
Breathwork,2021-04-27 21:17:12,false,"Relax and Focus","--","--","00:15:38","68","88","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","253","0.0","4","3","7","-51","84","33","33","85","00:00:00","00:15:38","--","--"
Running,2021-04-27 10:54:45,false,"Frisco - Pace Run","3.00","446","00:36:56","143","181","--","146","179","12:19","8:52","62","49","0.90","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:40.30","4","0.0","--","--","--","--","--","--","--","--","00:36:56","00:36:56","716","773"
Walking,2021-04-27 10:38:47,false,"McKinney Walking","0.86","110","00:15:01","82","101","--","116","129","17:30","14:59","13","36","0.79","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","15:01.20","1","0.0","--","--","--","--","--","--","--","--","00:15:01","00:15:01","741","781"
